Semaine,Jour apres plantation,Vitesse de maturation,variete,Rendement (t/ha),ETo (mm),Temperature (Min) (C),Temperature (Moy) (C),Temperature (Max) (C),Humidite relative (Min) (%),Humidite relative (Moy) (%),Humidite relative (Max) (%),Rayonnement global (j/cm2),VPD (Min) (Kpa),VPD (Kpa),VPD (Max) (Kpa),Degre jour (C),Cumul degres jour  (C),Amplitude thermique (C),Indice de chaleur (C),Point de rosee (C)
41,59,1,2009,5.0,2.84,11.46,16.34,21.36,65.58,88.91,100.0,1948.48,0.0,0.2,1.03,6.41,187.71,9.9,18.43,9.93
42,66,1,2009,4.2,3.47,11.11,16.43,22.68,56.1,81.21,97.1,2328.08,0.04,0.35,1.33,6.9,194.6,11.57,21.14,9.37
43,73,1,2009,8.9,4.69,11.17,20.67,34.46,38.52,62.59,84.59,2224.68,0.32,1.03,4.72,12.82,207.42,23.29,22.43,9.99
41,59,1,2009,6.8,3.63,12.15,18.36,26.85,57.67,84.78,100.0,2287.31,0.0,0.32,1.75,9.5,216.92,14.7,19.14,10.56
42,66,1,2009,4.2,3.26,15.07,19.22,26.57,59.38,81.95,97.24,2011.9,0.05,0.41,1.74,10.82,227.74,11.5,19.71,10.74
43,73,1,2009,8.4,4.24,12.16,19.01,27.78,49.84,76.87,98.48,2386.87,0.03,0.52,2.49,9.97,237.71,15.62,21.0,10.26
41,59,1,2009,1.43,2.29,16.76,21.13,28.79,75.87,93.44,100.0,1350.81,0.0,0.17,1.41,12.78,11.77,12.03,18.0,12.33
42,66,1,2009,2.74,2.76,14.71,21.05,27.59,66.63,90.79,100.0,1614.18,0.0,0.23,1.68,11.15,22.92,12.88,18.71,12.13
43,73,1,2009,5.2,2.67,14.36,20.47,31.81,59.31,86.72,100.0,1565.21,0.05,0.34,3.05,13.09,36.0,17.45,19.0,11.6
44,80,1,2009,3.0,2.6,12.02,17.34,23.97,60.48,88.9,97.79,1664.52,0.0,0.22,1.24,8.0,44.0,11.95,18.0,10.4
45,87,1,2009,4.39,4.09,12.61,24.44,35.6,20.78,44.18,100.0,1404.68,0.56,1.8,4.76,14.11,58.1,22.99,24.71,10.31
46,94,1,2009,8.23,2.21,13.15,18.49,25.35,60.02,82.58,67.49,1304.95,0.04,0.37,1.62,9.25,67.35,12.2,19.43,10.46
